zip,primary_city,state,FIPS,county,,latitude,longitude,DM_number,DM_percent
99922,Hydaburg,AK,02198,Prince of Wales-Outer Ketchikan Borough,,55.2,-132.81
99923,Hyder,AK,02198,Prince of Wales-Outer Ketchikan Borough,,55.97,-130.04
99925,Klawock,AK,02198,Prince of Wales-Outer Ketchikan Borough,,55.54,-132.96
99926,Metlakatla,AK,02198,Prince of Wales-Outer Ketchikan Borough,,55.14,-131.49
99927,Point Baker,AK,02198,Prince of Wales-Outer Ketchikan Borough,,56.3,-133.57
99950,Ketchikan,AK,02198,Prince of Wales-Outer Ketchikan Borough,,55.34,-131.64
99835,Sitka,AK,02220,Sitka Borough,,56.73,-135
99840,Skagway,AK,02230,Skagway Borough,,59.57,-135.35
99731,Fort Greely,AK,02240,Southeast Fairbanks Census Area,,64.04,-145.73
99732,Chicken,AK,02240,Southeast Fairbanks Census Area,,63.86,-142.12
99737,Delta Junction,AK,02240,Southeast Fairbanks Census Area,,63.7,-144.89
99738,Eagle,AK,02240,Southeast Fairbanks Census Area,,64.43,-141.22
99764,Northway,AK,02240,Southeast Fairbanks Census Area,,63,-141.69
99776,Tanacross,AK,02240,Southeast Fairbanks Census Area,,63.38,-143.39
99779,Tok,AK,02240,Southeast Fairbanks Census Area,,63.13,-142.53
99780,Tok,AK,02240,Southeast Fairbanks Census Area,,63.66,-143.19
99566,Chitina,AK,02261,Valdez-Cordova Census Area,,61.45,-143.15
99573,Copper Center,AK,02261,Valdez-Cordova Census Area,,61.68,-145.14
99574,Cordova,AK,02261,Valdez-Cordova Census Area,,60.79,-145.61
99586,Gakona,AK,02261,Valdez-Cordova Census Area,,62.41,-143.41
99588,Glennallen,AK,02261,Valdez-Cordova Census Area,,62.1,-145.53
99677,Tatitlek,AK,02261,Valdez-Cordova Census Area,,60.88,-146.65
99686,Valdez,AK,02261,Valdez-Cordova Census Area,,61.4,-145.66
99693,Whittier,AK,02261,Valdez-Cordova Census Area,,60.28,-148.3
99554,Alakanuk,AK,02270,Wade Hampton Census Area,,62.44,-164.38
99563,Chevak,AK,02270,Wade Hampton Census Area,,61.56,-165.38
99581,Emmonak,AK,02270,Wade Hampton Census Area,,62.69,-162.96
99585,Marshall,AK,02270,Wade Hampton Census Area,,61.87,-162.05
99604,Hooper Bay,AK,02270,Wade Hampton Census Area,,61.6,-165.74
99620,Kotlik,AK,02270,Wade Hampton Census Area,,62.84,-163.65
99632,Mountain Village,AK,02270,Wade Hampton Census Area,,62.09,-163.71
99650,Pilot Station,AK,02270,Wade Hampton Census Area,,61.94,-162.88
99657,Russian Mission,AK,02270,Wade Hampton Census Area,,61.81,-161.44
99658,Saint Marys,AK,02270,Wade Hampton Census Area,,62.06,-163.29
99662,Scammon Bay,AK,02270,Wade Hampton Census Area,,61.74,-165.47
99666,Nunam Iqua,AK,02270,Wade Hampton Census Area,,62.09,-165.18
99929,Wrangell,AK,02275,Wrangell Borough,,55.95,-131.96
99689,Yakutat,AK,02282,Yakutat Borough,,59.51,-139.71
99558,Anvik,AK,02290,Yukon-Koyukuk Census Area,,62.63,-160.2
99590,Grayling,AK,02290,Yukon-Koyukuk Census Area,,62.89,-160.1
99602,Holy Cross,AK,02290,Yukon-Koyukuk Census Area,,62.18,-159.84
99627,Mc Grath,AK,02290,Yukon-Koyukuk Census Area,,62.51,-154.44
99665,Shageluk,AK,02290,Yukon-Koyukuk Census Area,,62.64,-159.53
99675,Takotna,AK,02290,Yukon-Koyukuk Census Area,,62.97,-156.08
99691,Nikolai,AK,02290,Yukon-Koyukuk Census Area,,62.87,-153.87
99704,Clear,AK,02290,Yukon-Koyukuk Census Area,,64.28,-149.19
99720,Allakaket,AK,02290,Yukon-Koyukuk Census Area,,66.57,-152.95
99722,Arctic Village,AK,02290,Yukon-Koyukuk Census Area,,68.09,-145.57
99724,Beaver,AK,02290,Yukon-Koyukuk Census Area,,66.32,-146.77
99726,Bettles Field,AK,02290,Yukon-Koyukuk Census Area,,67.24,-152.27
99730,Central,AK,02290,Yukon-Koyukuk Census Area,,65.47,-145.19
99733,Circle,AK,02290,Yukon-Koyukuk Census Area,,65.79,-144.2
99740,Fort Yukon,AK,02290,Yukon-Koyukuk Census Area,,66.56,-145.25
99741,Galena,AK,02290,Yukon-Koyukuk Census Area,,64.74,-156.85
99745,Hughes,AK,02290,Yukon-Koyukuk Census Area,,66.05,-154.24
99746,Huslia,AK,02290,Yukon-Koyukuk Census Area,,65.69,-156.35
99748,Kaltag,AK,02290,Yukon-Koyukuk Census Area,,63.81,-159.67
99754,Koyukuk,AK,02290,Yukon-Koyukuk Census Area,,65.04,-158.66
99756,Manley Hot Springs,AK,02290,Yukon-Koyukuk Census Area,,64.65,-150.9
99757,Lake Minchumina,AK,02290,Yukon-Koyukuk Census Area,,63.81,-152.25
99758,Minto,AK,02290,Yukon-Koyukuk Census Area,,65.09,-149.64
99760,Nenana,AK,02290,Yukon-Koyukuk Census Area,,64.47,-148.57
99765,Nulato,AK,02290,Yukon-Koyukuk Census Area,,64.72,-158.11
99767,Rampart,AK,02290,Yukon-Koyukuk Census Area,,65.4,-150.2
99768,Ruby,AK,02290,Yukon-Koyukuk Census Area,,64.79,-153.87
99774,Stevens Village,AK,02290,Yukon-Koyukuk Census Area,,66.01,-149.07
99777,Tanana,AK,02290,Yukon-Koyukuk Census Area,,65.18,-152.07
99781,Venetie,AK,02290,Yukon-Koyukuk Census Area,,67,-146.37
99788,Chalkyitsik,AK,02290,Yukon-Koyukuk Census Area,,66.64,-143.78
99623,Wasilla,AK,02170,Matanuska-Susitna Borough,,61.61,-149.58
36003,Autaugaville,AL,01001,Autauga County,,32.43,-86.65
36006,Billingsley,AL,01001,Autauga County,,32.66,-86.7
36008,Booth,AL,01001,Autauga County,,32.47,-86.53
36051,Marbury,AL,01001,Autauga County,,32.64,-86.54
36066,Prattville,AL,01001,Autauga County,,32.46,-86.44
36067,Prattville,AL,01001,Autauga County,,32.46,-86.44
36068,Prattville,AL,01001,Autauga County,,32.46,-86.44
36749,Jones,AL,01001,Autauga County,,32.6,-86.88
36507,Bay Minette,AL,01003,Baldwin County,,30.88,-87.77
36511,Bon Secour,AL,01003,Baldwin County,,30.31,-87.72
36526,Daphne,AL,01003,Baldwin County,,30.62,-87.89
36527,Spanish Fort,AL,01003,Baldwin County,,30.67,-87.88
36530,Elberta,AL,01003,Baldwin County,,30.41,-87.6
36532,Fairhope,AL,01003,Baldwin County,,30.51,-87.88
36533,Fairhope,AL,01003,Baldwin County,,30.51,-87.88
36535,Foley,AL,01003,Baldwin County,,30.4,-87.68
36536,Foley,AL,01003,Baldwin County,,30.4,-87.68
36542,Gulf Shores,AL,01003,Baldwin County,,30.27,-87.7
36547,Gulf Shores,AL,01003,Baldwin County,,30.27,-87.7
36549,Lillian,AL,01003,Baldwin County,,30.41,-87.43
36550,Little River,AL,01003,Baldwin County,,31.25,-87.7
36551,Loxley,AL,01003,Baldwin County,,30.62,-87.75
36555,Magnolia Springs,AL,01003,Baldwin County,,30.4,-87.77
36559,Montrose,AL,01003,Baldwin County,,30.56,-87.9
36561,Orange Beach,AL,01003,Baldwin County,,30.28,-87.59
36562,Perdido,AL,01003,Baldwin County,,31,-87.62
36564,Point Clear,AL,01003,Baldwin County,,30.48,-87.9
36567,Robertsdale,AL,01003,Baldwin County,,30.55,-87.7
36574,Seminole,AL,01003,Baldwin County,,30.51,-87.47
36576,Silverhill,AL,01003,Baldwin County,,30.54,-87.74
36577,Spanish Fort,AL,01003,Baldwin County,,30.67,-87.88
36578,Stapleton,AL,01003,Baldwin County,,30.74,-87.79
36579,Stockton,AL,01003,Baldwin County,,30.99,-87.85
36580,Summerdale,AL,01003,Baldwin County,,30.48,-87.7
36016,Clayton,AL,01005,Barbour County,,31.88,-85.45
36017,Clio,AL,01005,Barbour County,,31.7,-85.61
36027,Eufaula,AL,01005,Barbour County,,31.9,-85.15
36048,Louisville,AL,01005,Barbour County,,31.78,-85.55
36072,Eufaula,AL,01005,Barbour County,,31.9,-85.15
